timestamp,v8_label,v8_conf,v11_label,v11_conf,v12_label,v12_conf,verdict_label,verdict_conf
2025-10-31T13:16:30,unripe,0.8906854391098022,ripe,0.9692268371582031,unripe,0.948527455329895,unripe,0.948527455329895
2025-10-31T13:33:47,overripe,0.6229413747787476,ripe,0.9687456488609314,ripe,0.9696930646896362,ripe,0.9696930646896362
2025-10-31T13:40:14,overripe,0.6229413747787476,ripe,0.9687456488609314,ripe,0.9696930646896362,ripe,0.9696930646896362
2025-10-31T13:44:32,overripe,0.6229413747787476,ripe,0.9687456488609314,ripe,0.9696930646896362,ripe,0.9696930646896362
2025-10-31T13:44:54,unripe,0.8906854391098022,ripe,0.9692268371582031,unripe,0.948527455329895,unripe,0.948527455329895
2025-10-31T23:05:59,unripe,0.8906854391098022,ripe,0.9692268371582031,unripe,0.948527455329895,unripe,0.948527455329895
2025-10-31T23:11:41,unripe,0.8906854391098022,ripe,0.9692268371582031,unripe,0.948527455329895,unripe,0.948527455329895
2025-11-01T11:33:15,overripe,0.951483428478241,overripe,0.9727559685707092,overripe,0.9079896807670593,overripe,0.9727559685707092
2025-11-01T11:33:29,overripe,0.9701870679855347,overripe,0.9236867427825928,ripe,0.6798944473266602,overripe,0.9701870679855347
2025-11-01T11:34:34,unripe,0.853900134563446,unripe,0.9741612672805786,unripe,0.9557200074195862,unripe,0.9741612672805786
2025-11-01T11:35:00,overripe,0.9265933632850647,ripe,0.9438133239746094,ripe,0.7071443200111389,ripe,0.9438133239746094
2025-11-01T11:36:05,overripe,0.9577308893203735,overripe,0.9614018201828003,overripe,0.8776112198829651,overripe,0.9614018201828003
2025-11-01T11:36:39,overripe,0.9284384846687317,overripe,0.9734573364257812,overripe,0.9504470825195312,overripe,0.9734573364257812
2025-11-01T11:37:29,ripe,0.8656208515167236,ripe,0.9718837141990662,ripe,0.9614237546920776,ripe,0.9718837141990662
2025-11-04T09:09:57,overripe,0.951483428478241,overripe,0.9727559685707092,overripe,0.9079896807670593,overripe,0.9727559685707092
2025-11-04T09:10:18,overripe,0.951483428478241,overripe,0.9727559685707092,overripe,0.9079896807670593,overripe,0.9727559685707092
2025-11-04T09:10:41,No detection,0.0,No detection,0.0,No detection,0.0,No detection,0.0
2025-11-04T09:48:41,overripe,0.7335913777351379,No detection,0.0,overripe,0.9251359105110168,overripe,0.9251359105110168
2025-11-04T09:49:28,overripe,0.9348995685577393,overripe,0.9565302729606628,overripe,0.9630126953125,overripe,0.9630126953125
2025-11-04T09:56:35,overripe,0.5481476187705994,No detection,0.0,No detection,0.0,No detection,0.0
2025-11-11T23:29:47,unripe,0.853900134563446,unripe,0.9741612672805786,unripe,0.9557200074195862,unripe,0.9741612672805786
2025-11-11T23:30:31,overripe,0.9348995685577393,overripe,0.9565302729606628,overripe,0.9630126953125,overripe,0.9630126953125
